filename,status,bars,slow_ratio,center_ratio,fast_ratio,achievement,precision,balance,overall_score,rank,play_tendency,ranking_position,ranking_percentile,ranking_top_percent,ranking_title,error
10_高峯翠_グラフ_The・プリティカルパレード♪.PNG,OK,3,0.080000,0.835000,0.085000,100.835,83.500,96.970,86.194,SSS+,Precision Master,44,2.445803224013341,2.445803224013341,レインボーランカー,
10_高峯翠_グラフ_Unbalanced Triangle.PNG,OK,3,0.065000,0.770000,0.165000,100.770,77.000,56.522,72.904,AAA,Fast Type,999,55.530850472484715,55.530850472484715,レッドランカー,
10_高峯翠_グラフ_きたさいたま2000.PNG,OK,3,0.057471,0.764368,0.178161,100.764,76.437,48.780,70.906,AA+,Fast Type,1157,64.31350750416898,64.31350750416898,オレンジランカー,
10_高峯翠_グラフ_それは残像の消失店.png,OK,3,0.050000,0.760000,0.190000,100.760,76.000,41.667,69.133,AA,Fast Type,1297,72.09560867148416,72.09560867148416,グリーンランカー,
10_高峯翠_グラフ_らびゅ&ピース伝説.PNG,OK,3,0.063584,0.757225,0.179191,100.757,75.723,52.381,71.054,AA+,Fast Type,1146,63.70205669816564,63.70205669816564,オレンジランカー,
10_高峯翠_グラフ_ゴーゴー・キッチン.PNG,OK,3,0.040462,0.797688,0.161850,100.798,79.769,40.000,71.815,AA+,Fast Type,1087,60.422456920511394,60.422456920511394,オレンジランカー,
10_高峯翠_グラフ_サヨナラ・ヘヴン.png,OK,3,0.120000,0.760000,0.120000,100.760,76.000,100.000,80.800,SS,Balanced Player,310,17.231795441912173,17.231795441912173,シルバーランカー,
10_高峯翠_グラフ_スキスキハンター♡(3DMV).PNG,OK,3,0.121387,0.809249,0.069364,100.809,80.925,72.727,79.285,S+,Amazing Specialist,423,23.513062812673706,23.513062812673706,ブロンズランカー,
10_高峯翠_グラフ_スキスキハンター♡(ムービー).PNG,OK,3,0.075145,0.780347,0.144509,100.780,78.035,68.421,76.112,S,Fast Type,710,39.46637020566982,39.46637020566982,パープルランカー,
10_高峯翠_グラフ_セイクリッド ルイン.PNG,OK,3,0.028902,0.751445,0.219653,100.751,75.145,23.256,64.767,A,Fast Type,1530,85.04724847137298,85.04724847137298,ブルーランカー,
10_高峯翠_グラフ_セツナDrops.PNG,OK,3,0.065000,0.785000,0.150000,100.785,78.500,60.465,74.893,AAA+,Fast Type,820,45.58087826570317,45.58087826570317,パープルランカー,
10_高峯翠_グラフ_プロローグのそのあとへ.png,OK,3,0.060000,0.775000,0.165000,100.775,77.500,53.333,72.667,AAA,Fast Type,1014,56.364647026125624,56.364647026125624,レッドランカー,
10_高峯翠_グラフ_催花雨の片道切符.png,OK,3,0.074627,0.766169,0.159204,100.766,76.617,63.830,74.059,AAA+,Fast Type,895,49.74986103390773,49.74986103390773,パープルランカー,
10_高峯翠_グラフ_僕のウィーク・ポイント.PNG,OK,3,0.052023,0.849711,0.098266,100.850,84.971,69.231,81.823,SS,Amazing Specialist,233,12.951639799888829,12.951639799888829,シルバーランカー,
10_高峯翠_グラフ_僕の気持ちを描く.png,OK,3,0.065000,0.805000,0.130000,100.805,80.500,66.667,77.733,S,Amazing Specialist,552,30.68371317398555,30.68371317398555,パープルランカー,
10_高峯翠_グラフ_朧.png,OK,3,0.055000,0.805000,0.140000,100.805,80.500,56.410,75.682,AAA+,Amazing Specialist,749,41.63424124513619,41.63424124513619,パープルランカー,
10_高峯翠_グラフ_熱血☆流星忍法帖.PNG,OK,3,0.093023,0.796512,0.110465,100.797,79.651,91.429,82.007,SS+,Balanced Player,224,12.45136186770428,12.45136186770428,シルバーランカー,
10_高峯翠_グラフ_瞬きSign☆.PNG,OK,3,0.090000,0.825000,0.085000,100.825,82.500,97.143,85.429,SSS,Precision Master,72,4.002223457476376,4.002223457476376,プラチナランカー,
10_高峯翠_グラフ_終わらないシンフォニア.PNG,OK,3,0.046512,0.761628,0.191860,100.762,76.163,39.024,68.735,AA,Fast Type,1323,73.54085603112841,73.54085603112841,グリーンランカー,
11_仙石忍_グラフ_Ai☆$!!.png,OK,3,0.070000,0.790000,0.140000,100.790,79.000,66.667,76.533,S,Fast Type,671,37.29849916620345,37.29849916620345,パープルランカー,
11_仙石忍_グラフ_BIGBANG REFLECTION!!.png,OK,3,0.150000,0.750000,0.100000,100.750,75.000,80.000,76.000,S,All Round Player,721,40.07782101167315,40.07782101167315,パープルランカー,
11_仙石忍_グラフ_CIVIL WAR.PNG,OK,3,0.034826,0.855721,0.109453,100.856,85.572,48.276,78.113,S+,Amazing Specialist,517,28.73818788215675,28.73818788215675,ブロンズランカー,
11_仙石忍_グラフ_Dear World(3DMV).PNG,OK,3,0.050000,0.870000,0.080000,100.870,87.000,76.923,84.985,SSS,Amazing Specialist,83,4.613674263479711,4.613674263479711,プラチナランカー,
11_仙石忍_グラフ_Dear World(ムービー).PNG,OK,3,0.070352,0.834171,0.095477,100.834,83.417,84.848,83.703,SS+,Amazing Specialist,137,7.615341856586992,7.615341856586992,ゴールドランカー,
11_仙石忍_グラフ_Deep into you.PNG,OK,3,0.086705,0.838150,0.075145,100.838,83.815,92.857,85.623,SSS,Precision Master,60,3.3351862145636466,3.3351862145636466,プラチナランカー,
11_仙石忍_グラフ_Fight Is Only Fate.png,OK,3,0.085000,0.765000,0.150000,100.765,76.500,72.340,75.668,AAA+,All Round Player,754,41.91217342968316,41.91217342968316,パープルランカー,
11_仙石忍_グラフ_FORBIDDEN RAIN.png,OK,3,0.095000,0.770000,0.135000,100.770,77.000,82.609,78.122,S+,All Round Player,515,28.627015008337963,28.627015008337963,ブロンズランカー,
11_仙石忍_グラフ_Graceful Punishment.PNG,OK,3,0.081395,0.773256,0.145349,100.773,77.326,71.795,76.219,S,All Round Player,702,39.02167871039467,39.02167871039467,パープルランカー,
11_仙石忍_グラフ_It's k(not) lov.PNG,OK,3,0.109827,0.786127,0.104046,100.786,78.613,97.297,82.350,SS+,Balanced Player,199,11.061700944969427,11.061700944969427,シルバーランカー,
11_仙石忍_グラフ_Joyful×box.PNG,OK,3,0.023121,0.763006,0.213873,100.763,76.301,19.512,64.943,A,Fast Type,1525,84.76931628682601,84.76931628682601,ブルーランカー,
11_仙石忍_グラフ_Rainbow Stairway.png,OK,3,0.100000,0.825000,0.075000,100.825,82.500,85.714,83.143,SS+,Amazing Specialist,156,8.67148415786548,8.67148415786548,ゴールドランカー,
11_仙石忍_グラフ_Stranger's Sun.PNG,OK,3,0.100000,0.795000,0.105000,100.795,79.500,97.561,83.112,SS+,Balanced Player,159,8.838243468593664,8.838243468593664,ゴールドランカー,
11_仙石忍_グラフ_Unbalanced Triangle.PNG,OK,3,0.100503,0.804020,0.095477,100.804,80.402,97.436,83.809,SS+,Precision Master,131,7.281823235130629,7.281823235130629,ゴールドランカー,
11_仙石忍_グラフ_きたさいたま2000.PNG,OK,3,0.063584,0.797688,0.138728,100.798,79.769,62.857,76.386,S,Fast Type,685,38.076709282934964,38.076709282934964,パープルランカー,
11_仙石忍_グラフ_それは残像の消失店.png,OK,3,0.100000,0.770000,0.130000,100.770,77.000,86.957,78.991,S+,All Round Player,448,24.90272373540856,24.90272373540856,ブロンズランカー,
